Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C19, C21, C24, C25, C4, C6",0603,9,100n,C14663
"C12, C26, C5",0805,3,10u,C15850
"C2, C20, C29, C7, C9",0805,5,1u,C28323
C22,1206,1,4u7,C51205
C23,1206,1,10u,C13585
C27,1210,1,47u,C77101
C28,0603,1,470p,C85979
C3,0805,1,4u7,C1779
C30,0603,1,20n,C282065
D1,SOT-23,1,BAT54S,C7420333
D2,D_SMA,1,SS34,C8678
D4,D_SMF,1,SMF24A,C19077514
"D5, D6",0603,2,LED,C157741
F1,0603,1,1A,C151139
FB2,0603,1,BLM18KG331SH1D,C710376
R1,1206,1,165R,C870446
"R12, R14, R32, R33, R34",0603,5,22R,C138283
"R13, R18, R24, R25, R26, R28, R35, R36, R4, R40, R43, R46, R5, R6",0603,14,10K,C140867
"R15, R7",0603,2,12k4,C137798
"R27, R29, R30, R31",0603,4,100R,C122970
"R3, R8",0603,2,47R,C114623
R37,0603,1,12K1 1%,C245906
"R38, R39, R41, R42",0603,4,51R,C23197
"R44, R45",0603,2,1K,C22548
U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,LAN8720A,C45223
U6,ESP32-WROOM-32,1,ESP32-WROOM-32,C701341
U7,SOT-23-5,1,MCP3221,C36310
