Designator,Mid X,Mid Y,Rotation,Layer
C1,187.452,-76.3513,90.0,top
C12,181.5,-54.0375,90.0,top
C13,185.0136,-53.848,90.0,top
C17,227.2781,-68.2752,0.0,top
C19,221.996,-69.5463,270.0,top
C2,185.2168,-77.2883,90.0,top
C20,185.1152,-57.6072,270.0,top
C21,225.8568,-59.9429,90.0,top
C22,172.3136,-101.346,180.0,top
C23,184.25,-95.8125,90.0,top
C24,172.2628,-98.2472,180.0,top
C25,172.5676,-81.938012,0.0,top
C26,172.702986,-83.915742,0.0,top
C27,173.1772,-86.5886,0.0,top
C28,229.6668,-64.7192,180.0,top
C29,229.7176,-62.9412,180.0,top
C3,182.9668,-77.2883,90.0,top
C30,223.266,-79.7063,90.0,top
C4,194.4116,-85.09,270.0,top
C5,196.342,-85.1397,90.0,top
C6,196.75,-76.0,270.0,top
C7,220.1672,-69.5452,270.0,top
C9,194.25,-75.25,270.0,top
D1,198.8,-88.1875,270.0,top
D2,188.0,-88.0,180.0,top
D4,187.2,-91.5,180.0,top
D5,211.441,-76.708,180.0,top
D6,211.441,-74.93,180.0,top
F1,193.75,-90.5,90.0,top
FB2,217.932,-69.596,270.0,top
H1,232.0,-49.0,0.0,top
H2,170.0,-77.0,0.0,top
J1,223.291,-90.7959,0.0,top
J4,194.0,-98.25,0.0,top
L1,178.5112,-107.4928,180.0,top
PGAIN1,212.0,-98.71,270.0,top
PZERO1,206.0,-98.71,270.0,top
R1,206.4766,-89.0016,0.0,top
R12,211.4296,-61.7728,0.0,top
R13,183.388,-55.88,270.0,top
R14,208.6525,-55.75,0.0,top
R15,191.7192,-76.3505,270.0,top
R18,182.753,-62.484,0.0,top
R24,182.753,-60.833,0.0,top
R25,212.4456,-53.594,90.0,top
R26,178.0521,-69.4436,0.0,top
R27,178.0559,-72.898,180.0,top
R28,211.4315,-63.3984,180.0,top
R29,178.054,-71.2216,180.0,top
R3,199.5,-85.25,180.0,top
R30,178.0559,-67.7672,180.0,top
R31,178.0559,-66.0908,180.0,top
R32,211.4296,-67.3608,0.0,top
R33,227.4316,-59.9437,270.0,top
R34,229.0064,-59.9437,270.0,top
R35,207.8755,-76.708,0.0,top
R36,223.3168,-56.5931,90.0,top
R37,227.2284,-71.2724,0.0,top
R38,219.2528,-79.6036,270.0,top
R39,217.3224,-79.6036,270.0,top
R4,185.2676,-83.5152,90.0,top
R40,211.5331,-89.2556,180.0,top
R41,227.1776,-79.6563,270.0,top
R42,225.2472,-79.6525,270.0,top
R43,211.5331,-90.932,0.0,top
R44,230.378,-79.6563,90.0,top
R45,232.0544,-79.6544,90.0,top
R46,207.8755,-74.93,0.0,top
R5,197.0,-80.25,90.0,top
R6,211.4296,-65.7352,0.0,top
R7,194.0,-79.1525,270.0,top
R8,200.2466,-80.2908,90.0,top
U4,173.99,-90.5256,180.0,top
U5,223.8556,-65.0819,270.0,top
U6,197.0,-61.485,0.0,top
U7,199.6375,-76.8,180.0,top
U8,170.28,-55.339,90.0,top
